Variants,Fitness Score
AARY,0.011420139
AASA,0.071261667
AASC,0.021227462
AASD,0.021690504
AASE,0
AASF,0
AASG,0.008305556
AASH,0.009788691
AASI,0
AASK,0.016122549
AASL,0
AASM,0.016122549
AASN,0
AASP,0
AASQ,0
AASR,0
AASS,0
AAST,0
AASV,0
AASW,0
AASY,0
AATA,0
AATC,0.016500861
AATD,0.024323618
AATE,0.013939992
AATF,0.016860341
AATG,0.020470384
AATH,0
AATI,0.022600314
AATK,0.017186405
AATL,0
AATM,0.021025701
AATN,0
AATP,0
AATQ,0
AATR,0.019577381
AATS,0
AATT,0
AATV,0
AATW,0.013911951
AATY,0.010039878
AAVA,0.004725575
AAVC,0
AAVD,0.016452964
AAVE,0.018272222
AAVF,0
AAVG,0.078309524
AAVH,0.008565104
AAVI,0
AAVK,0
AAVL,0
AAVM,0
AAVN,0
AAVP,0
AAVQ,0
AAVR,0
AAVS,0
AAVT,0.01495
AAVV,0
AAVW,0.01269856
AAVY,0
AAWA,0.008565104
AAWC,0.014625484
AAWD,0.041600198
AAWE,0.009786974
AAWF,0.022840278
AAWG,0
AAWH,0.021083333
AAWI,0.024916667
AAWK,0.013173482
AAWL,0
AAWM,0.007321725
AAWN,0
AAWP,0
AAWQ,0.034260417
AAWR,0.010151235
AAWS,0
AAWT,0.006852083
AAWV,0.018272222
AAWW,0.096118937
AAWY,0
AAYA,0.145102942
AAYC,0.029603196
AAYD,0.027908888
AAYE,0
AAYF,0.086234652
AAYG,0.759000004
AAYH,0.027408333
AAYI,0.036311218
AAYK,0.009639343
AAYL,0
AAYM,0.053590031
AAYN,0.025202922
AAYP,0
AAYQ,0.021186591
AAYR,0
AAYS,0.060907408
AAYT,0.224250001
AAYV,0.018272222
AAYW,0.005363716
AAYY,0.009974583
ACAA,1.311684531
ACAC,0.028679056
ACAD,0.007616762
ACAE,0.018790268
ACAF,0.04815232
ACAG,0.126500001
ACAH,0.018271485
ACAI,0.027211319
ACAK,0.023346856
ACAL,0.274083335
ACAM,0.469477256
ACAN,0.023517105
ACAP,0
ACAQ,0.023404987
ACAR,0.019577381
ACAS,0.039154762
ACAT,0.042166667
ACAV,0.024344385
ACAW,0.01725713
ACAY,0.014252873
ACCA,1.589683342
ACCC,0.133175927
ACCD,0.022027728
ACCE,0.019319264
ACCF,0.060936802
ACCG,1.167479443
ACCH,0.018419079
ACCI,0.091702377
ACCK,0.028319012
ACCL,0.182722223
ACCM,0.146085529
ACCN,0.018252517
ACCP,0
ACCQ,0
ACCR,0
ACCS,0.015226852
ACCT,0.048367647
ACCV,0.053430679
ACCW,0.016271741
ACCY,0.014509113
ACDA,0.014421083
ACDC,0.017294993
ACDD,0.198908295
ACDE,0.050086301
ACDF,0.105641572
ACDG,0.017597435
ACDH,0.019672265
ACDI,0.018765127
ACDK,0.038160479
ACDL,0.060907408
ACDM,0.026373516
ACDN,0.034365436
ACDP,0.008905776
ACDQ,0.03965327
ACDR,0.045680556
ACDS,0
ACDT,0.024916667
ACDV,0.034921605
ACDW,0.03542
ACDY,0.039672225
ACEA,0
ACEC,0.019715346
ACED,0.17697062
ACEE,0.063174585
ACEF,0.210721453
ACEG,0.038791738
ACEH,0.06471506
ACEI,0.047885922
ACEK,0.084547025
ACEL,0
ACEM,0.030615473
ACEN,0.022687029
ACEP,0.020024898
ACEQ,0.019947203
ACER,0.061901307
ACES,0.01634239
ACET,0.032381242
ACEV,0.030888822
ACEW,0.00940686
ACEY,0.021911094
ACFA,1.096333339
ACFC,0.092211494
ACFD,0.08916122
ACFE,0.042166667
ACFF,0.061269397
ACFG,2.449619805
ACFH,0
ACFI,0.082529603
ACFK,0.053048913
ACFL,0.032245098
ACFM,0
ACFN,0.027408333
ACFP,0.186875001
ACFQ,0
ACFR,0
ACFS,0.188432293
ACFT,1.553138897
ACFV,0.161225491
ACFW,0.072696688
ACFY,0.018291717
ACGA,0.430702383
ACGC,0.753729171
ACGD,0.040298139
ACGE,0.099666667
ACGF,1.233375007
ACGG,0.018272222
ACGH,0
ACGI,0.026103175
ACGK,0
ACGL,0.54816667
ACGM,1.315600007
ACGN,0.049833334
ACGP,0.006374031
ACGQ,0.109633334
ACGR,0.020302469
ACGS,0.173586112
ACGT,0.225139882
ACGV,0.249166668
ACGW,0.120249721
ACGY,0.182722223
ACHA,0.048365828
ACHC,0.030874563
ACHD,0.422553052
ACHE,0.15353738
ACHF,0.33685831
ACHG,0.020968271
ACHH,0.087369578
ACHI,0.027257318
ACHK,0.18177309
ACHL,0.044747257
ACHM,0.067703183
ACHN,0.106580917
ACHP,0.06485229
ACHQ,0.075799147
ACHR,0.048060619
ACHS,0.033099201
ACHT,0.061317656
ACHV,0.061036138
ACHW,0.018587902
ACHY,0.011465182
ACIA,0.024916667
ACIC,0.021487444
ACID,0.096759797
ACIE,0.057874037
ACIF,0.141645927
ACIG,0.060085729
ACIH,0.034637847
ACII,0.043508044
ACIK,0.055367144
ACIL,0.026103175
ACIM,0.039712646
ACIN,0.038100724
ACIP,0
ACIQ,0.042316996
ACIR,0.023833333
ACIS,0
ACIT,0.013704167
ACIV,0
ACIW,0.048734424
ACIY,0.030850005
ACKA,0.034468008
ACKC,0.026951618
ACKD,0.283941798
ACKE,0.09365069
ACKF,0.060958327
ACKG,0.043682561
ACKH,0.03930655
ACKI,0.019871455
ACKK,0.129358013
ACKL,0.036335583
ACKM,0.049986893
ACKN,0.064775855
ACKP,0.038465178
ACKQ,0.042558852
ACKR,0.033563685
ACKS,0.02230684
ACKT,0.029661609
ACKV,0.029525428
ACKW,0.008991653
ACKY,0.005546131
ACLA,0.847166671
ACLC,0.109633334
ACLD,0.029043688
ACLE,0.031254269
ACLF,0.021863191
ACLG,2.403500013
ACLH,0
ACLI,0.035053632
ACLK,0.027798487
ACLL,0.024362963
ACLM,0.027435633
ACLN,0
ACLP,0.044445946
ACLQ,0
ACLR,0.011916667
ACLS,0.053048387
ACLT,1.053057023
ACLV,0
ACLW,0.019577381
ACLY,0.016122549
ACMA,0.785477971
ACMC,0.03696104
ACMD,0.006526425
ACME,0.034036526
ACMF,0.025986327
ACMG,1.673619732
ACMH,0.037984603
ACMI,0.081345845
ACMK,0.036757759
ACML,0.030740507
ACMM,0.042581151
ACMN,0.068490562
ACMP,0.018895456
ACMQ,0.044988723
ACMR,0.011916667
ACMS,0.099666667
ACMT,0.234968898
ACMV,0.030977513
ACMW,0.00943387
ACMY,0.082567018
ACNA,0.023874245
ACNC,0.021172815
ACND,0.208424473
ACNE,0.057470546
ACNF,0.057417157
ACNG,0.0355099
ACNH,0.029804716
ACNI,0.016101738
ACNK,0.066745709
ACNL,0
ACNM,0.075901186
ACNN,0.041526378
ACNP,0.014373928
ACNQ,0.046659818
ACNR,0
ACNS,0.010249231
ACNT,0
ACNV,0.032113701
ACNW,0.031421896
ACNY,0.030984343
ACPA,0
ACPC,0.017817144
ACPD,0.034421733
ACPE,0.078688509
ACPF,0.03398552
ACPG,0.023138577
ACPH,0.035039766
ACPI,0.02899253
ACPK,0.034942581
ACPL,0.019577381
ACPM,0.030709393
ACPN,0
ACPP,0.008887392
ACPQ,0.04605354
ACPR,0.011667626
ACPS,0.017130208
ACPT,0
ACPV,0.006157915
ACPW,0.001875327
ACPY,0.025568605
ACQA,0.046196781
ACQC,0.077551492
ACQD,0.60313812
ACQE,0.280450414
ACQF,0.126905029
ACQG,0.025118483
ACQH,0.085898312
ACQI,0.060507955
ACQK,0.176299091
ACQL,0.047001612
ACQM,0.149202305
ACQN,0.094004755
ACQP,0.023475092
ACQQ,0.097278958
ACQR,0.0335976
ACQS,0.062478056
ACQT,0.043709662
ACQV,0.081874438
ACQW,0.024933983
ACQY,0.015379501
ACRA,0
ACRC,0.016948955
ACRD,0.065470948
ACRE,0.067930474
ACRF,0.02941216
ACRG,0.046388458
ACRH,0
ACRI,0.059040992
ACRK,0.045185108
ACRL,0.03289
ACRM,0.033254411
ACRN,0.033229667
ACRP,0
ACRQ,0.030660541
ACRR,0.021083333
ACRS,0.034260417
ACRT,0.028850877
ACRV,0.027408333
ACRW,0.028342317
ACRY,0.021073541
ACSA,0.172570989
ACSC,0.022840278
ACSD,0.016686395
ACSE,0
ACSF,0
ACSG,0.064490196
ACSH,0
ACSI,0.02647914
ACSK,0
ACSL,0.014425439
ACSM,0.025747944
ACSN,0.012506214
ACSP,0.013369919
ACSQ,0
ACSR,0.009136111
ACSS,0
ACST,0
ACSV,0.010151235
ACSW,0.013527037
ACSY,0
ACTA,0
ACTC,0.011396381
ACTD,0.018712036
ACTE,0.027476846
ACTF,0.032747448
ACTG,0.024987415
ACTH,0.019947881
ACTI,0.048511839
ACTK,0.035572344
ACTL,0
ACTM,0.035976414
ACTN,0.030984819
ACTP,0
ACTQ,0.048826586
ACTR,0.012929739
ACTS,0
ACTT,0
ACTV,0.042166667
ACTW,0.023971669
ACTY,0.017299703
ACVA,0.037038288
ACVC,0.042166667
ACVD,0.016607718
ACVE,0
ACVF,0.030453704
ACVG,0.166833334
ACVH,0.013051587
ACVI,0.034260417
ACVK,0.019092044
ACVL,0
ACVM,0
ACVN,0.039154762
ACVP,0
ACVQ,0.036544445
ACVR,0.017494681
ACVS,0.011916667
ACVT,0.047255747
ACVV,0.020302469
ACVW,0
ACVY,0.018272222
ACWA,0
ACWC,0.010101145
ACWD,0.032002821
ACWE,0.019290913
ACWF,0.018085979
ACWG,0
ACWH,0.036614101
ACWI,0.040753541
ACWK,0.027266415
ACWL,0
ACWM,0.012527973
ACWN,0.05730489
ACWP,0.049833334
ACWQ,0.059706131
ACWR,0.014425439
ACWS,0.008245203
ACWT,0.027408333
ACWV,0.022481303
ACWW,0.165622445
ACWY,0.042405141
ACYA,0.07616487
ACYC,0.020445557
ACYD,0.021470165
ACYE,0.040584651
ACYF,0.167491558
ACYG,1.176259728
ACYH,0.039736841
ACYI,0.077942457
ACYK,0.01995147
ACYL,0
ACYM,0.091696212
ACYN,0.050960582
ACYP,0.021083333
ACYQ,0.048455742
ACYR,0
ACYS,0
ACYT,0.086075828
ACYV,0.030348184
ACYW,0.009242214
ACYY,0.017187195
ADAA,1.939666677
ADAC,0.032536769
ADAD,0.008016329
ADAE,0.010260248
ADAF,0.02342743
ADAG,0.064730282
ADAH,0.008439359
ADAI,0.011526723
ADAK,0.01129711
ADAL,0.137041667
ADAM,0.23384886
ADAN,0.010679257
ADAP,0
ADAQ,0
ADAR,0
ADAS,0.010963333
ADAT,0
ADAV,0.011844214
ADAW,0.008396069
ADAY,0.006934415
ADCA,3.575780637
ADCC,0.241586211
ADCD,0.037069072
ADCE,0.01686756
ADCF,0.047404975
ADCG,1.175514571
ADCH,0.013603177
ADCI,0.062111737
ADCK,0.021910581
ADCL,0.022840278
ADCM,0.116349556
ADCN,0.013253079
ADCP,0.011722542
ADCQ,0.024784244
ADCR,0
ADCS,0.046283023
ADCT,0.015226852
ADCV,0.041565687
ADCW,0.012658384
ADCY,0.011287172
ADDA,0
ADDC,0.019614415
ADDD,0.209268298
ADDE,0.027339415
ADDF,0.051379239
ADDG,0.011077371
ADDH,0.009083126
ADDI,0
ADDK,0.018458574
ADDL,0
ADDM,0.013132098
ADDN,0.015599994
ADDP,0
ADDQ,0.018293956
ADDR,0
ADDS,0
ADDT,0.005115993
ADDV,0
ADDW,0.017226671
ADDY,0.019294759
ADEA,0
ADEC,0.022091714
ADED,0.183959306
ADEE,0.034070828
ADEF,0.101258527
ADEG,0.024126626
ADEH,0
ADEI,0.020034547
ADEK,0.040406637
ADEL,0
ADEM,0.015061808
ADEN,0.01017537
ADEP,0
ADEQ,0.009092444
ADER,0.02595148
ADES,0
ADET,0
ADEV,0.014843086
ADEW,0.004520303
ADEY,0.010528995
ADFA,0.376853604
ADFC,0.069234162
ADFD,0.062102198
ADFE,0.01436258
ADFF,0.019727718
ADFG,1.674530473
ADFH,0.008855813
ADFI,0.023136188
ADFK,0.016987961
ADFL,0.012458333
ADFM,0.016694268
ADFN,0.014189474
ADFP,0
ADFQ,0.013063745
ADFR,0.021083333
ADFS,0.018272222
ADFT,0.456805558
ADFV,0.109633334
ADFW,0.023407113
ADFY,0.005889626
ADGA,0.120596667
ADGC,0.356308335
ADGD,0.026685946
ADGE,0.017130208
ADGF,0.386941179
ADGG,0.022840278
ADGH,0.03289
ADGI,0.052512709
ADGK,0.012163517
ADGL,0.11420139
ADGM,0.251243057
ADGN,0
ADGP,0.006229167
ADGQ,0
ADGR,0
ADGS,0.040109756
ADGT,0.024362963
ADGV,0.061909656
ADGW,0.036811537
ADGY,0
ADHA,0.022945204
ADHC,0.02704078
ADHD,0.343316931
ADHE,0.064721385
ADHF,0.12652126
ADHG,0.010193266
ADHH,0.031153342
ADHI,0.008913498
ADHK,0.067901185
ADHL,0.012371645
ADHM,0.026033862
ADHN,0.037363319
ADHP,0.024357996
ADHQ,0.027005758
ADHR,0.015748713
ADHS,0.012431792
ADHT,0.023030416
ADHV,0.022924681
ADHW,0.006981466
ADHY,0.00430623
ADIA,0
ADIC,0.016905214
ADID,0.070619797
ADIE,0.021914673
ADIF,0.047790093
ADIG,0.026238537
ADIH,0.011094631
ADII,0.012780627
ADIK,0.01857879
ADIL,0.024916667
ADIM,0.013717529
ADIN,0.011998218
ADIP,0
ADIQ,0.013543297
ADIR,0
ADIS,0
ADIT,0.004035053
ADIV,0.008659198
ADIW,0.016442567
ADIY,0.010408521
ADKA,0.018249388
ADKC,0.026344021
ADKD,0.257467334
ADKE,0.044057869
ADKF,0.025552189
ADKG,0.023699418
ADKH,0.015641852
ADKI,0.007252263
ADKK,0.053928697
ADKL,0.011211714
ADKM,0.021451836
ADKN,0.025342997
ADKP,0.01612363
ADKQ,0.016922354
ADKR,0.01227451
ADKS,0
ADKT,0.012433396
ADKV,0.012376313
ADKW,0.003769073
ADKY,0.002324798
ADLA,0.356308335
ADLC,0.055706234
ADLD,0.027334769
ADLE,0.015261341
ADLF,0
ADLG,1.370416674
ADLH,0
ADLI,0.013278461
ADLK,0.012028697
ADLL,0
ADLM,0.012220646
ADLN,0.008048601
ADLP,0.029630631
ADLQ,0
ADLR,0
ADLS,0.016122549
ADLT,0.833670143
ADLV,0
ADLW,0.011446908
ADLY,0.00467712
ADMA,0.450279764
ADMC,0.037611277
ADMD,0.00616091
ADME,0.016669955
ADMF,0.011340094
ADMG,0.945285619
ADMH,0.015736477
ADMI,0.030906935
ADMK,0.015953365
ADML,0
ADMM,0.019024025
ADMN,0.027896662
ADMP,0
ADMQ,0.018623068
ADMR,0.006917265
ADMS,0.038010578
ADMT,0.102537361
ADMV,0.013518182
ADMW,0.004116818
ADMY,0.036031169
ADNA,0.014665306
ADNC,0.024010721
ADND,0.219265796
ADNE,0.031368027
ADNF,0.027923261
ADNG,0.022351589
ADNH,0.013760607
ADNI,0.006817828
ADNK,0.032283403
ADNL,0.006976873
ADNM,0.037790816
ADNN,0.018849431
ADNP,0
ADNQ,0.021525006
ADNR,0
ADNS,0
ADNT,0
ADNV,0.027408333
ADNW,0.015281178
ADNY,0.015068386
ADPA,0
ADPC,0.012718624
ADPD,0.022794515
ADPE,0.027035141
ADPF,0.010403843
ADPG,0.009167925
ADPH,0
ADPI,0.007727425
ADPK,0.010638646
ADPL,0
ADPM,0.009624637
ADPN,0.009403263
ADPP,0
ADPQ,0
ADPR,0
ADPS,0.003804539
ADPT,0
ADPV,0
ADPW,0.000574086
ADPY,0
ADQA,0.026057183
ADQC,0.080755292
ADQD,0.58263048
ADQE,0.140556913
ADQF,0.056670562
ADQG,0.014517993
ADQH,0.036415937
ADQI,0.02352556
ADQK,0.078299733
ADQL,0.015450275
ADQM,0.068213053
ADQN,0.039181248
ADQP,0.01048301
ADQQ,0.041207228
ADQR,0.013089601
ADQS,0
ADQT,0
ADQV,0.036561754
ADQW,0.01113449
ADQY,0.006867852
ADRA,0.010541667
ADRC,0
ADRD,0.050269708
ADRE,0.02706089
ADRF,0
ADRG,0
ADRH,0
ADRI,0.018245781
ADRK,0
ADRL,0.009788691
ADRM,0.012084329
ADRN,0.014425439
ADRP,0
ADRQ,0
ADRR,0.009788691
ADRS,0.007027778
ADRT,0
ADRV,0
ADRW,0.010059939
ADRY,0
ADSA,0.068520834
ADSC,0.010465511
ADSD,0.011049945
ADSE,0.005937851
ADSF,0.00389129
ADSG,0.006856417
ADSH,0
ADSI,0.007057527
ADSK,0.005690302
ADSL,0
ADSM,0.008069669
ADSN,0.003573349
ADSP,0
ADSQ,0.005694537
ADSR,0
ADSS,0
ADST,0.009451149
ADSV,0.003249359
ADSW,0.004140975
ADSY,0.003451217
ADTA,0.005247442
ADTC,0.008135214
ADTD,0.012391351
ADTE,0.009440265
ADTF,0.010024838
ADTG,0.009900468
ADTH,0.005797287
ADTI,0.012929938
ADTK,0.010830385
ADTL,0
ADTM,0.011275375
ADTN,0.008853166
ADTP,0
ADTQ,0.014178557
ADTR,0
ADTS,0
ADTT,0
ADTV,0.001758096
ADTW,0.007338345
ADTY,0
ADVA,0
ADVC,0
ADVD,0.012093423
ADVE,0
ADVF,0.008815621
ADVG,0.112857844
ADVH,0
ADVI,0
ADVK,0
ADVL,0
ADVM,0
ADVN,0.013051587
ADVP,0
ADVQ,0
ADVR,0
ADVS,0.012458333
ADVT,0.009966667
ADVV,0
ADVW,0.009664496
ADVY,0
ADWA,0.005457307
ADWC,0.00721062
ADWD,0.02119268
ADWE,0.006627811
ADWF,0.005536584
ADWG,0.040834274
ADWH,0.010640853
ADWI,0.010862106
ADWK,0.008301555
ADWL,0.042166667
ADWM,0.003926395
ADWN,0.016373492
ADWP,0.005671208
ADWQ,0.017337825
ADWR,0.004262176
ADWS,0
ADWT,0
ADWV,0.006882106
ADWW,0.050701297
ADWY,0.012981306
ADYA,0.11420139
ADYC,0.014594895
ADYD,0.01421782
ADYE,0.013943736
ADYF,0.051273481
ADYG,0.466055475
ADYH,0.011548388
ADYI,0.020774127
ADYK,0.006074441
ADYL,0
ADYM,0.028738529
ADYN,0.014560759
ADYP,0
ADYQ,0.014070869
ADYR,0.003554161
ADYS,0
ADYT,0.027408333
ADYV,0.009290361
ADYW,0.00282928
ADYY,0.005261443
AEAA,0.438533336
AEAC,0.021835003
AEAD,0.008957858
AEAE,0.008504648
AEAF,0.016480651
AEAG,0
AEAH,0
AEAI,0.007828616
AEAK,0.009210934
AEAL,0.016611111
AEAM,0.17244034
AEAN,0.008010486
AEAP,0
AEAQ,0
AEAR,0.009788691
AEAS,0
AEAT,0
AEAV,0.021083333
AEAW,0.006009183
AEAY,0.004963057
AECA,1.507458341
AECC,0.158966841
AECD,0.040615886
AECE,0.013709018
AECF,0.032698603
AECG,0.662122529
AECH,0.010679506
AECI,0.041362653
AECK,0.017516436
AECL,0.021083333
AECM,0.084124774
AECN,0.009747431
AECP,0.008226531
AECQ,0
AECR,0
AECS,0.021083333
AECT,0.044832501
AECV,0.029169562
AECW,0.008883278
AECY,0.007921001
AEDA,0.007298907
AEDC,0.021564064
AEDD,0.383096794
AEDE,0.037124801
AEDF,0.059212555
AEDG,0.010424804
AEDH,0.011914258
AEDI,0.008841149
AEDK,0.024655333
AEDL,0
AEDM,0.015864053
AEDN,0.019169849
AEDP,0
AEDQ,0
AEDR,0.014202747
AEDS,0
AEDT,0.005998542
AEDV,0.019914198
AEDW,0.02019841
AEDY,0.02262326
AEEA,0.013718629
AEEC,0.025697651
AEED,0.356316219
AEEE,0.048951541
AEEF,0.123471433
AEEG,0.024023515
AEEH,0.04097291
AEEI,0.023585433
AEEK,0.057105006
AEEL,0
AEEM,0.019251558
AEEN,0.013229799
AEEP,0
AEEQ,0.012100137
AEER,0.037581954
AEES,0
AEET,0.019303716
AEEV,0.018414027
AEEW,0.005607795
AEEY,0.013062054
AEFA,0.290205884
AEFC,0.056712669
AEFD,0.084706441
AEFE,0.014531545
AEFF,0.016939764
AEFG,1.174163703
AEFH,0.008654948
AEFI,0.01918014
AEFK,0.016906681
AEFL,0
AEFM,0.015026292
AEFN,0.012991669
AEFP,0
AEFQ,0.01224258
AEFR,0.016122549
AEFS,0.078309524
AEFT,0.502486114
AEFV,0.024916667
AEFW,0.020448811
AEFY,0.005145267
AEGA,0.052708334
AEGC,0.450111837
AEGD,0.046285909
AEGE,0.025672072
AEGF,0.373750002
AEGG,0.021009853
AEGH,0
AEGI,0
AEGK,0.015393345
AEGL,0.08867402
AEGM,0.6746151
AEGN,0
AEGP,0
AEGQ,0
AEGR,0
AEGS,0.02055625
AEGT,0.007027778
AEGV,0.016122549
AEGW,0.040894122
AEGY,0.032245098
AEHA,0.017911136
AEHC,0.028166675
AEHD,0.595472087
AEHE,0.083269094
AEHF,0.138149956
AEHG,0.009088782
AEHH,0.03871662
AEHI,0.009396473
AEHK,0.085931261
AEHL,0.012836508
AEHM,0.029797494
AEHN,0.043501159
AEHP,0.02705942
AEHQ,0.032182393
AEHR,0.02042277
AEHS,0.013810541
AEHT,0.025584605
AEHV,0.025467143
AEHW,0.007755745
AEHY,0.004783812
AEIA,0
AEIC,0.017210183
AEID,0.119712937
AEIE,0.027556209
AEIF,0.051000396
AEIG,0.022865483
AEIH,0.013475785
AEII,0.013167923
AEIK,0.022979453
AEIL,0
AEIM,0.01534495
AEIN,0.013652764
AEIP,0
AEIQ,0.015773745
AEIR,0
AEIS,0.006510669
AEIT,0
AEIV,0
AEIW,0.017852333
AEIY,0.011300935
AEKA,0.016811022
AEKC,0.032382699
AEKD,0.526990677
AEKE,0.066891992
AEKF,0.032925317
AEKG,0.024937023
AEKH,0.022940113
AEKI,0.009022042
AEKK,0.080539395
AEKL,0.013727961
AEKM,0.028974786
AEKN,0.034819936
AEKP,0.021137536
AEKQ,0.023797831
AEKR,0.018784012
AEKS,0.012258142
AEKT,0.016299764
AEKV,0.016224929
AEKW,0.004941128
AEKY,0.003047732
AELA,0.053293982
AELC,0.038902954
AELD,0.031786595
AELE,0
AELF,0.006963524
AELG,1.096333339
AELH,0
AELI,0.009384839
AELK,0.010205983
AELL,0
AELM,0.00937773
AELN,0.006282582
AELP,0.014055556
AELQ,0
AELR,0.017130208
AELS,0.017682796
AELT,0.376864585
AELV,0
